model name,depth,n_estimator,colsample_bytree,learning rate,alpha,featurestrain_rmse,train_rmse_percent,test_rmse,test_rmse_percent
image features,7,10,0.25,0.01,5,"['image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.104533100688892,88.051189272996,11.094454185685139,87.97127051868053
image features,7,10,0.25,0.01,5,"['image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.09544365203832,87.97911629556762,11.12545344150819,88.21707295963398
image features,7,10,0.25,0.01,5,"['image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.115266307425292,88.13629610362848,11.058346632729652,87.68496285039406
image features,7,10,0.25,0.01,5,"['image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.111202030298152,88.1040692255297,11.072118862641474,87.79416701158493
image features,7,10,0.25,0.01,5,"['image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.103199216198849,88.04061250091237,11.099243791752983,88.00924874852585
image features,7,10,0.25,0.01,5,"['image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.105456110730742,88.05850809776413,11.091213428418662,87.9455735777222
image features,7,10,0.25,0.01,5,"['image_emotions_fear', 'image_emotions_happy', 'category_id']",11.096034895423033,87.98380444253442,11.122505368591932,88.19369680108805
image features,7,10,0.25,0.01,5,"['image_emotions_happy', 'category_id']",11.099590897989792,88.01200105847693,11.110582073208269,88.09915339894181
image features,7,10,0.25,0.01,5,['category_id'],11.100469073991409,88.01896438062944,11.106139163554271,88.0639242294378
image features,7,10,0.25,0.01,10,"['image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.109360658984755,88.08946843749408,11.077485491867227,87.83672063193349
image features,7,10,0.25,0.01,10,"['image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.112574314699382,88.11495048208083,11.066894394373625,87.75274062831137
image features,7,10,0.25,0.01,10,"['image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.09882874726425,88.00595773570228,11.114127168560806,88.1272635282959
image features,7,10,0.25,0.01,10,"['image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.100903125165043,88.0224061031852,11.107498374235007,88.07470182051941
image features,7,10,0.25,0.01,10,"['image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.090586659514695,87.94060373820773,11.14166233527192,88.34559816278795
image features,7,10,0.25,0.01,10,"['image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.11125715499462,88.10450632585965,11.071495683564958,87.7892256368941
image features,7,10,0.25,0.01,10,"['image_emotions_fear', 'image_emotions_happy', 'category_id']",11.106741404424708,88.06869957878298,11.086219121291597,87.90597221149228
image features,7,10,0.25,0.01,10,"['image_emotions_happy', 'category_id']",11.105041608846761,88.05522138741716,11.091871086694795,87.95078834837699
image features,7,10,0.25,0.01,10,['category_id'],11.106212260272278,88.06450383534236,11.086443864176182,87.90775426554974
image features,7,10,0.25,0.01,20,"['image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.091686954264723,87.9493283068512,11.137974625467484,88.31635720046832
image features,7,10,0.25,0.01,20,"['image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.10818702162904,88.08016231322853,11.082255177278547,87.87454090489021
image features,7,10,0.25,0.01,20,"['image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.092144287166287,87.9529546372436,11.137290416386259,88.31093190047893
image features,7,10,0.25,0.01,20,"['image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.100756189215028,88.02124100375883,11.107655490797669,88.07594764509136
image features,7,10,0.25,0.01,20,"['image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.105022009063582,88.05506597483,11.092733126841665,87.95762372447474
image features,7,10,0.25,0.01,20,"['image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.106714959792946,88.06848989132872,11.087177190662413,87.9135690322448
image features,7,10,0.25,0.01,20,"['image_emotions_surprise', 'image_emotions_happy', 'category_id']",11.11568770332292,88.13963747868715,11.054510302206099,87.65454342960615
image features,7,10,0.25,0.01,20,"['image_emotions_happy', 'category_id']",11.101901387247445,88.03032162405984,11.102861717155767,88.03793636929545
image features,7,10,0.25,0.01,20,['category_id'],11.106320593051455,88.06536283859423,11.087175775199656,87.91355780861404
image features,7,10,0.25,0.01,30,"['image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.094677010739037,87.97303736568055,11.127886161961257,88.23636273319933
image features,7,10,0.25,0.01,30,"['image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.11364404992486,88.12343273504514,11.063685850449495,87.72729911665189
image features,7,10,0.25,0.01,30,"['image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.095332334432694,87.97823362472738,11.126139982159946,88.2225167473487
image features,7,10,0.25,0.01,30,"['image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.106806254932394,88.06921379800093,11.08659065071743,87.90891818026897
image features,7,10,0.25,0.01,30,"['image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.097711631910965,87.99709979142673,11.117485076119925,88.15388938922749
image features,7,10,0.25,0.01,30,"['image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.094560463685339,87.97211322897068,11.129194261256602,88.2467350467039
image features,7,10,0.25,0.01,30,"['image_emotions_fear', 'image_emotions_happy', 'category_id']",11.102633077731097,88.03612341839745,11.101019613461165,88.02332977398856
image features,7,10,0.25,0.01,30,"['image_emotions_happy', 'category_id']",11.102883375737203,88.03810810671442,11.099698290061612,88.01285260257667
image features,7,10,0.25,0.01,30,['category_id'],11.098541048920294,88.00367648883602,11.112281903044963,88.11263186195555
image features,7,10,0.25,0.01,50,"['image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.100165767168658,88.01655936943125,11.10891478541116,88.08593297156638
image features,7,10,0.25,0.01,50,"['image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.104515748229877,88.05105168011936,11.095260546595716,87.97766439733493
image features,7,10,0.25,0.01,50,"['image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.092293862955781,87.9541406687527,11.136849055241568,88.30743221495982
image features,7,10,0.25,0.01,50,"['image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.103647825026478,88.04416965549356,11.09825160164171,88.00138137414007
image features,7,10,0.25,0.01,50,"['image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.10026653050119,88.01735835225963,11.109118079877659,88.08754495465341
image features,7,10,0.25,0.01,50,"['image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.09792618851727,87.99880107541411,11.117778414482583,88.15621535750164
image features,7,10,0.25,0.01,50,"['image_emotions_fear', 'image_emotions_happy', 'category_id']",11.101598535931748,88.02792022471435,11.103761826494816,88.04507360749002
image features,7,10,0.25,0.01,50,"['image_emotions_happy', 'category_id']",11.101220620159932,88.02492361667585,11.104819917432078,88.05346352938409
image features,7,10,0.25,0.01,50,['category_id'],11.09872201670247,88.00511143691499,11.11156959552555,88.1069837609824
image features,7,10,0.25,0.01,100,"['image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.104525689532755,88.05113050770566,11.094949253509201,87.97519606064473
image features,7,10,0.25,0.01,100,"['image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.097871669646066,87.99836877885524,11.117941600620718,88.15750930956655
image features,7,10,0.25,0.01,100,"['image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.09640666603977,87.98675232378649,11.123166902093514,88.19894229957323
image features,7,10,0.25,0.01,100,"['image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.105176417638274,88.0562903269493,11.092609953864404,87.95664704882023
image features,7,10,0.25,0.01,100,"['image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.100135968721869,88.01632308856699,11.109149934428322,88.0877975389849
image features,7,10,0.25,0.01,100,"['image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",11.110315420795894,88.09703903160919,11.07500142706942,87.81702373358624
image features,7,10,0.25,0.01,100,"['image_emotions_fear', 'image_emotions_happy', 'category_id']",11.092253366155385,87.95381955741877,11.136429620342387,88.30410638924877
image features,7,10,0.25,0.01,100,"['image_emotions_happy', 'category_id']",11.103037419896774,88.03932956927639,11.098666221959055,88.00466902358089
image features,7,10,0.25,0.01,100,['category_id'],11.086914657997465,87.911487331631,11.151506204783217,88.42365317056348
image features,7,10,0.25,0.05,5,"['image_amount_of_faces', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.472793358174146,59.25403044075392,7.468879229037575,59.22299413131901
image features,7,10,0.25,0.05,5,"['image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.474916660176174,59.27086674217867,7.468713946576179,59.221683556875234
image features,7,10,0.25,0.05,5,"['image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.478837343503524,59.301955021767355,7.448224098749513,59.059213378903614
image features,7,10,0.25,0.05,5,"['image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.475461321765713,59.275185528054266,7.472616985652311,59.252631929878966
image features,7,10,0.25,0.05,5,"['image_emotions_angry', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.4757098027085656,59.27715580832913,7.455955587174843,59.12051868048883
image features,7,10,0.25,0.05,5,"['image_emotions_angry', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.471724229686021,59.24555299879293,7.481057060120519,59.31955582372843
image features,7,10,0.25,0.05,5,"['image_emotions_angry', 'image_emotions_happy', 'category_id']",7.474931976013837,59.27098818607088,7.450299460831568,59.07566955025635
image features,7,10,0.25,0.05,5,"['image_emotions_angry', 'category_id']",7.464719720558109,59.19001213512996,7.4982400854215205,59.455805209393034
image features,7,10,0.25,0.05,5,['category_id'],7.467435204782985,59.211544027852014,7.464700906089955,59.18986294954229
image features,7,10,0.25,0.05,10,"['image_amount_of_faces', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.4702096498385275,59.23354343876807,7.478320698785694,59.29785839011035
image features,7,10,0.25,0.05,10,"['image_amount_of_faces', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.476674206709429,59.284802858272215,7.454868486268458,59.111898729807514
image features,7,10,0.25,0.05,10,"['image_amount_of_faces', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.4706240495542895,59.23682933899246,7.498306661829259,59.456333113792596
image features,7,10,0.25,0.05,10,"['image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",7.477062637763422,59.28788284515185,7.4607486605782025,59.15852440388231
