model name,depth,n_estimator,colsample_bytree,learning rate,alpha,featurestrain_rmse,train_rmse_percent,test_rmse,test_rmse_percent
all features,9,10,0.25,0.01,5,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",4950509.8632235695,353.1836727461562,5908040.6730645,421.4966864620827
all features,9,10,0.25,0.01,5,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5247151.015384752,374.3469093627007,5180100.706194416,369.56334663625694
all features,9,10,0.25,0.01,5,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5157797.198191958,367.9721499536789,5566409.154851616,397.12370718077216
all features,9,10,0.25,0.01,5,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5266786.452541117,375.74775816463506,5375449.215034621,383.50007350356645
all features,9,10,0.25,0.01,5,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5320603.222882818,379.5872020057271,5325919.575163874,379.9664859332643
all features,9,10,0.25,0.01,5,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5388464.095769518,384.4285926875099,5097267.138184451,363.6537606370932
all features,9,10,0.25,0.01,5,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5331105.2306670295,380.3364455751603,5116263.441625065,365.0090117936656
all features,9,10,0.25,0.01,5,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",4948544.213301153,353.04343760308745,6273754.436273426,447.5877626608159
all features,9,10,0.25,0.01,5,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5516052.602206607,393.53112526469073,4745093.8098115595,338.5286981698944
all features,9,10,0.25,0.01,5,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5362296.758831467,382.5617392883431,5382018.782187455,383.9687653998553
all features,9,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5134338.103204393,366.29851035777386,6098396.129587377,435.0771945550902
all features,9,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5322821.343644345,379.74544914769723,5598887.1463734675,399.44078090570696
all features,9,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5368744.40092508,383.02173269873754,5383035.494894041,384.0413006210265
all features,9,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5296388.103163649,377.8596254217598,5516916.947463109,393.5927901518734
all features,9,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5438621.71323269,388.00698199311256,5189177.839858026,370.21093557030554
all features,9,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_happy', 'category_id']",5356758.947699943,382.1666558467494,5495557.619960294,392.0689540333205
all features,9,10,0.25,0.01,5,"['image_emotions_happy', 'category_id']",5282971.96119913,376.902479102688,5736008.514196149,409.22341534895116
all features,9,10,0.25,0.01,5,['image_emotions_happy'],5550657.973103644,395.99997237899584,5041041.545313246,359.64246443907865
all features,9,10,0.25,0.01,10,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5274893.767206947,376.32615741014683,5039591.471899523,359.5390120133367
all features,9,10,0.25,0.01,10,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5267970.934387838,375.8322625208497,5046180.108361672,360.0090643692319
all features,9,10,0.25,0.01,10,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5398681.593899112,385.15753851640216,4681397.916962933,333.9844491941991
