model name,depth,n_estimator,colsample_bytree,learning rate,alpha,featurestrain_rmse,train_rmse_percent,test_rmse,test_rmse_percent
all features,7,10,0.25,0.01,5,"['title_sentiment', 'title_length', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5067243.97470093,361.5118214349635,5677413.668485536,405.0430898099989
all features,7,10,0.25,0.01,5,"['title_sentiment', 'title_capitals_count', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5002329.86725169,356.88066151095677,5891569.060794488,420.32155406596513
all features,7,10,0.25,0.01,5,"['title_sentiment', 'title_capitals_ratio', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5409156.828507083,385.9048720101105,4794786.00886973,342.073883182165
all features,7,10,0.25,0.01,5,"['title_sentiment', 'title_non_letter_count', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5172438.592949251,369.01670934601987,5643437.383956981,402.61912353428085
all features,7,10,0.25,0.01,5,"['title_sentiment', 'title_non_letter_ratio', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",4988124.364483928,355.8671999121839,6284266.657759748,448.3377349052592
all features,7,10,0.25,0.01,5,"['title_sentiment', 'title_word_count', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5331189.5381872635,380.34246031716856,5342920.283787001,381.17936559146045
all features,7,10,0.25,0.01,5,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_sad', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5292709.1779680615,377.597160272061,5205836.706708247,371.3994272490432
all features,7,10,0.25,0.01,5,"['title_sentiment', 'title_number_count', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5416183.32490137,386.40616255828377,4995219.480050262,356.3733859502911
all features,7,10,0.25,0.01,5,"['title_sentiment', 'image_amount_of_faces', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5401632.537125033,385.36806732967426,5104651.394411452,364.18057480508935
all features,7,10,0.25,0.01,5,"['title_sentiment', 'image_text', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5428324.168439631,387.2723254040411,5283786.937334203,376.9606218541496
all features,7,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_angry', 'image_emotions_neutral', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5246328.9011560455,374.28825735902154,5771165.518633793,411.7316175933872
all features,7,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_angry', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5337099.405297334,380.7640873069222,5538952.46357623,395.1648675189956
all features,7,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_disgust', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5147147.263848386,367.2123528762282,6065036.9833685635,432.69725670893774
all features,7,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_surprise', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5480576.056446934,391.0001260193747,5032345.049255324,359.0220312912575
all features,7,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_fear', 'image_emotions_happy', 'category_id']",5510135.527228907,393.1089840448412,4992713.184173116,356.1945795632047
all features,7,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_happy', 'category_id']",5379784.416567725,383.809359302779,5386370.093437986,384.2792005128404
all features,7,10,0.25,0.01,5,"['title_sentiment', 'image_emotions_happy']",5580859.711418484,398.1546516253892,4720436.717600669,336.76958999176986
all features,7,10,0.25,0.01,5,['image_emotions_happy'],5568928.438244567,397.3034401347494,4976657.2842447255,355.0491052862862
